Title,Price,Calification
Notebook Lenovo Intel I3 1115g4 Ideapad 3 14itl05 8GB RAM 128gb SSD Full hd Windows 11,489999,4.6
"Laptop Asus VivoBook Go 15 E510KA gris 15.6"", Intel Celeron N4500  4GB de RAM 128GB SSD, Intel UHD Graphics (Jasper Lake 16 EU) 1920x1080px",249999,4.6
"Laptop HP 15-ef2529la plata natural 15.6"", AMD Ryzen 5 5500U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 7 1920x1080px Windows 11 Home",699999,4.9
Notebook Lenovo I5 1135g7 8gb Ram 512gb Ssd 14'' Windows 11 Full Hd 82h701fyus,565649,4.6
Notebook Lenovo Ideapad 1i Intel I3 1215u 4gb Ram (ampliable Hasta 12gb) 128gb Ssd Windows 11s,348500,4.7
Notebook Noblex N14x1000 14.1  Hd Intel Celeron 4gb/128gb,269280,4.7
Notebook Lenovo IdeaPad 3i Intel I5 1135g7 Ram 8gb Ssd 256gb Full hd Windows 11,446000,4.6
Samsung Galaxy Book3 15.6  I3 8gb 256gb Color Silver,506999,4.7
Notebook Gamer Asus Tuf F15 I5 10300h 32g 1tb Gtx 1650 W10,946595, 
Notebook Lenovo Thinkpad E15 Ryzen 7 5700u Ssd 1tb 16gb,989995,
"Laptop HP 15-ef2514la plata 15.6"", AMD Ryzen 7 5700U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 8 (Ryzen 4000/5000) 1366x768px Windows 11 Home",899999,4.8
Notebook Lenovo Intel Pentium Silver N5030 4gb Ram 128gb Emmc Windows 11 Intel Uhd 605 14'' (82v6001dus),274999,4.6
"Laptop HP 14-dq0515la negra 14"", Intel Celeron N4120  4GB de RAM 256GB SSD, Intel UHD Graphics 600 1366x768px Windows 11 Home",389000,4.7
"Laptop HP EliteBook X360 C1030 aluminum táctil 14"", Intel Core i7 16GB de RAM 128GB SSD 60 Hz 1366x768px Google Chrome",459000, 
"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",1007999,4.9
Notebook Lenovo Ideapad I7 1165g7 8gb 512gb Pantalla 14  Full Hd Windows 11 Home,560000,4.7
Notebook Enova Intel Celeron 4gb 128gb W10,299999,4.6
